Exp_name,Window_size,Detection_end,Det_acc,Drift_signaled,Real_drift,Total_Training_time
1_Baseline,500,1123,0.82,False,False,0.019945859909057617
1_Baseline,500,1124,0.82,False,False,0.019945859909057617
1_Baseline,500,1125,0.82,False,False,0.019945859909057617
1_Baseline,500,1126,0.818,False,False,0.019945859909057617
1_Baseline,500,1127,0.82,False,False,0.019945859909057617
1_Baseline,500,1128,0.822,False,False,0.019945859909057617
1_Baseline,500,1129,0.822,False,False,0.019945859909057617
1_Baseline,500,1130,0.822,False,False,0.019945859909057617
1_Baseline,500,1131,0.822,False,False,0.019945859909057617
1_Baseline,500,1132,0.822,False,False,0.019945859909057617
1_Baseline,500,1133,0.822,False,False,0.019945859909057617
1_Baseline,500,1134,0.82,False,False,0.019945859909057617
1_Baseline,500,1135,0.82,False,False,0.019945859909057617
1_Baseline,500,1136,0.82,False,False,0.019945859909057617
1_Baseline,500,1137,0.82,False,False,0.019945859909057617
1_Baseline,500,1138,0.822,False,False,0.019945859909057617
1_Baseline,500,1139,0.82,False,False,0.019945859909057617
1_Baseline,500,1140,0.818,False,False,0.019945859909057617
1_Baseline,500,1141,0.818,False,False,0.019945859909057617
1_Baseline,500,1142,0.818,False,False,0.019945859909057617
1_Baseline,500,1143,0.818,False,False,0.019945859909057617
1_Baseline,500,1144,0.818,False,False,0.019945859909057617
1_Baseline,500,1145,0.818,False,False,0.019945859909057617
1_Baseline,500,1146,0.82,False,False,0.019945859909057617
1_Baseline,500,1147,0.82,False,False,0.019945859909057617
1_Baseline,500,1148,0.82,False,False,0.019945859909057617
1_Baseline,500,1149,0.82,False,False,0.019945859909057617
1_Baseline,500,1150,0.82,False,False,0.019945859909057617
1_Baseline,500,1151,0.82,False,False,0.019945859909057617
1_Baseline,500,1152,0.82,False,False,0.019945859909057617
1_Baseline,500,1153,0.822,False,False,0.019945859909057617
1_Baseline,500,1154,0.822,False,False,0.019945859909057617
1_Baseline,500,1155,0.822,False,False,0.019945859909057617
1_Baseline,500,1156,0.82,False,False,0.019945859909057617
1_Baseline,500,1157,0.82,False,False,0.019945859909057617
1_Baseline,500,1158,0.82,False,False,0.019945859909057617
1_Baseline,500,1159,0.818,False,False,0.019945859909057617
1_Baseline,500,1160,0.818,False,False,0.019945859909057617
1_Baseline,500,1161,0.818,False,False,0.019945859909057617
1_Baseline,500,1162,0.816,False,False,0.019945859909057617
1_Baseline,500,1163,0.818,False,False,0.019945859909057617
1_Baseline,500,1164,0.818,False,False,0.019945859909057617
1_Baseline,500,1165,0.82,False,False,0.019945859909057617
1_Baseline,500,1166,0.818,False,False,0.019945859909057617
1_Baseline,500,1167,0.818,False,False,0.019945859909057617
1_Baseline,500,1168,0.82,False,False,0.019945859909057617
1_Baseline,500,1169,0.82,False,False,0.019945859909057617
1_Baseline,500,1170,0.82,False,False,0.019945859909057617
1_Baseline,500,1171,0.82,False,False,0.019945859909057617
1_Baseline,500,1172,0.82,False,False,0.019945859909057617
